Zip Code,Location,Population,People / Sq. Mile
60143,"41.973970, -88.021083","10,021","1,329.09"
61610,"40.643958, -89.599085","5,041","1,321.67"
61037,"41.787710, -89.760595",138,"1,312.88"
60112,"41.920733, -88.677080","1,294","1,296.66"
61091,"41.905967, -89.542148",10,"1,277.11"
62090,"38.670035, -90.173245","1,589","1,220.58"
62018,"38.908641, -90.084401","4,387","1,219.80"
60510,"41.844503, -88.324869","26,565","1,218.42"
62208,"38.598465, -90.010112","14,752","1,216.14"
62219,"38.606766, -89.435548",949,"1,210.29"
61323,"41.434924, -89.395583",102,"1,207.79"
60523,"41.836556, -87.953483","10,231","1,195.05"
62095,"38.858623, -90.093048","10,482","1,187.33"
62822,"37.973966, -89.057671","2,972","1,176.80"
60555,"41.829894, -88.203349","13,852","1,167.30"
60046,"42.414156, -88.056404","30,225","1,162.88"
60096,"42.476605, -87.828163","6,853","1,159.86"
60069,"42.192402, -87.924232","7,204","1,155.46"
60030,"42.335391, -88.057912","32,340","1,126.29"
62336,"40.467707, -91.171233",65,"1,110.10"
60633,"41.661941, -87.557757","13,262","1,102.54"
60443,"41.504747, -87.749003","15,125","1,095.25"
62540,"39.586807, -89.407280","1,392","1,094.61"
62891,"38.012148, -89.043695",565,"1,088.18"
62266,"38.477657, -89.680267",109,"1,067.47"
62292,"38.212024, -89.683675",643,"1,064.31"
60047,"42.200425, -88.047505","38,168","1,062.04"
60436,"41.490240, -88.104482","16,184","1,060.17"
60020,"42.434665, -88.183219","6,457","1,059.74"
60123,"42.028126, -88.375725","55,201","1,057.28"
60185,"41.895559, -88.210654","32,936","1,056.25"
62921,"37.806125, -89.083374",353,"1,046.88"
60448,"41.539637, -87.892261","19,476","1,026.07"
60464,"41.665020, -87.865049","9,520","1,015.11"
60451,"41.507651, -87.961090","27,338",988.43
62062,"38.725931, -89.961315","4,431",974.75
60084,"42.260677, -88.140532","13,061",969.19
60045,"42.238498, -87.874567","22,248",964.92
60048,"42.295408, -87.950611","28,562",937.88
62221,"38.529202, -89.902082","22,252",936.99
60431,"41.517237, -88.206315","23,392",917.74
61244,"41.522518, -90.388048","22,300",848.96
62234,"38.684033, -89.978323","31,986",848.09
62825,"37.996145, -89.068678",216,847.69
62269,"38.602811, -89.919147","26,249",824.79
62002,"38.944962, -90.133191","34,062",823.55
60441,"41.599408, -88.022074","49,103",811.50
60602,"41.883067, -87.629187",70,810.58
62034,"38.754871, -89.972284","12,015",807.68
61857,"40.115809, -87.840418",167,797.52
60050,"42.345498, -88.250307","47,813",794.68
60041,"42.367535, -88.156411","9,286",789.48
61564,"40.496240, -89.653975",994,781.38
61256,"41.547833, -90.407493","1,506",778.91
62225,"38.543095, -89.851779","5,348",768.12
62522,"39.832676, -89.047729","18,458",766.23
61372,"41.466084, -89.075556",120,756.99
60476,"41.569482, -87.601706","2,601",743.67
61419,"41.200969, -90.118912",46,741.73
61233,"41.293039, -90.291771",524,740.91
62059,"38.653018, -90.173336",668,729.71
62040,"38.724486, -90.114671","46,104",725.14
60536,"41.596596, -88.556603",96,720.90
61615,"40.748922, -89.672355","18,411",718.54
61874,"40.048463, -88.276654","4,355",713.86
60544,"41.610447, -88.218398","44,284",713.36
61109,"42.193439, -89.051577","26,584",710.57
62058,"38.966607, -89.768822",760,709.30
61815,"40.111440, -88.377852",172,708.25
62223,"38.540266, -90.057990","17,207",704.92
62526,"39.902482, -88.975638","36,440",684.92
62239,"38.535176, -90.161471","4,766",653.32
60118,"42.109430, -88.310016","14,739",651.99
61611,"40.698158, -89.533217","23,663",642.62
61102,"42.228769, -89.162524","20,383",637.82
62048,"38.832252, -90.097321","1,508",630.01
60192,"42.068268, -88.219060","1,775",616.75
62024,"38.868449, -90.054005","12,439",612.10
61554,"40.539336, -89.618231","43,500",607.74
60423,"41.477368, -87.832416","22,853",604.01
60439,"41.678525, -87.965200","20,004",597.24
62232,"38.634742, -90.003108","7,101",595.79
